Restaurant,Category,Cuisine,Building,Level,Address,Open,Close,Bfast,Lunch,Dinner,Cost,Rating,Link,Area,Coordinates
The Brothers Deli,Fast casual,Sandwiches,South Six,Skyway,"50 South 6th St #220, Minneapolis, MN 55402",10:30am,1:00pm,No,Yes,No,<$15,4.2,https://www.thebrothersdeli.com/order/,Downtown,"44.97841538780996, -93.27195181922156"
Chipotle Mexican Grill,Fast casual,Mexican,South Six,Skyway,"50 South 6th St, Minneapolis, MN 55402",10:30am,4:00pm,No,Yes,No,<$15,3.9,https://www.chipotle.com/menu,Downtown,"44.97838566791666, -93.27171998952582"
The Oceanaire Seafood Room,Dine-in,Seafood,South Six,Ground,"50 South 6th St, Minneapolis, MN 55402",4:00pm,9:00pm,No,No,Yes,>$50,4.5,https://www.theoceanaire.com/location/minneapolis-mn/#menus,Downtown,"44.97816064536757, -93.27172374081539"
Murray's,Dine-in,Steak,Murray's,Ground,"26 South 6th St, Minneapolis, MN 55402",11:00am,9:00pm,No,Yes,Yes,>$50,4.7,http://www.murraysrestaurant.com/menus/,Downtown,"44.97850295526314, -93.2725235157528"
Lyon's Pub,Drinks,Bar,Embassy Suites,Ground,"16 South 6th St, Minneapolis, MN 55402",11:00am,1:00am,No,Yes,Yes,<$20,4.4,http://www.lyonspub.com/menu/,Downtown,"44.97862077308192, -93.27279660962763"
Emerald Bar,Drinks,Bar,Embassy Suites,Ground,"12 South 6th St, Minneapolis, MN 55402",4:00pm,10:00pm,No,No,Yes,,,https://www.keepandshare.com/doc6/38919/lbmenuv2-2-pdf-100k?da=y,Downtown,"44.978678620479975, -93.2729399088894"
Five Guys,Fast casual,Burgers,60 South Six,Ground,"555 Nicollet Mall, Minneapolis, MN 55402",8:00am,7:00pm,No,Yes,Yes,<$20,4.2,http://www.fiveguys.com/Menu,Downtown,"44.97803850917727, -93.27096673149637"
Subway,Fast casual,Sandwiches,60 South Six,Skyway,"555 Nicollet Mall Suite 297, Minneapolis, MN 55402",7:00am,5:00pm,Yes,Yes,No,<$15,3,https://subway.com/en-us/restaurant/7190-0/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=7190&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0%3Atx%3A0%3Aswy-web%3A0%3A0&segment_code=0&y_source=1_MTQ4OTg4MTctNzE1LWxvY2F0aW9uLm1lbnVfdXJs,Downtown,"44.97828813773319, -93.27061765980645"
Salad Slayer,Fast casual,Salads/ health food,60 South Six,Skyway,"555 Nicollet Mall, Minneapolis, MN 55402",11:00am,3:00pm,No,Yes,No,<$20,4.4,http://saladslayer.com/,Downtown,"44.977997955699145, -93.27052593293904"
Bank,Dine-in,American,Westin,Ground,"88 South 6th St, Minneapolis, MN 55402",3:00pm,9:00pm,No,No,Yes,<$40,3.9,http://places.singleplatform.com/bank/menu?ref=google,Downtown,"44.977516718898535, -93.27019979297361"
Starbucks,Coffee,Coffee,Westin,Skyway,"88 South 6th St, Minneapolis, MN 55402",6:00am,4:00pm,No,Yes,No,<$10,4.2,http://www.starbucks.com/menu,Downtown,"44.97754735956405, -93.27031190358935"
Starbucks,Coffee,Coffee,Artis REIT,Skyway,"120 South 6th St, Minneapolis, MN 55402",6:00am,4:30pm,Yes,Yes,No,<$10,,http://www.starbucks.com/menu,Downtown,"44.97733531897655, -93.26920155549216"
Bruegger's Bafels,Fast casual,Sandwiches,Gaviidae Common,Ground,"651 Nicollet Mall #139, Minneapolis, MN 55402",6:00am,2:00pm,Yes,Yes,No,<$15,3.7,https://www.brueggers.com/menu/,Downtown,"44.977461625860585, -93.27094885571198"
Planet Smoothie,Fast casual,Novelty,Gaviidae Common,Ground,"651 Nicollet Mall Space 113, Minneapolis, MN 55402",7:00am,7:00pm,Yes,Yes,Yes,<$15,4.8,https://www.planetsmoothie.com/stores/19239?utm_source=gmb&utm_medium=gmb&utm_campaign=gmb&utm_id=gmb,Downtown,"44.97734253681366, -93.27167410504741"
Crepe Avenue,Coffee,Breakfast,6 Quebec Condos,Ground,"601 S Marquette Ave #210, Minneapolis, MN 55402",7:30am,4:00pm,Yes,Yes,No,,5,,Downtown,"44.977087474895676, -93.26999735694656"
